Sr. No,Questions,Data,,,,,,,,Alpha,Type
,,2.7,3.2,2.8,,,,,,,
,,2.5,3,2.9,,,,,,,
,,,,,,,,,,,
48,"A study is conducted to compare the energy consumption of three different light bulbs:
Perform a one-way ANOVA to determine if there are significant differences in energy consumption at α = 0.05.",Bulb A,Bulb B,Bulb C,,,,,,0.05,One Way CRD
,,60,55,50,,,,,,,
,,58,54,49,,,,,,,
,,59,56,51,,,,,,,
,,60,55,52,,,,,,,
,,57,53,50,,,,,,,
,,,,,,,,,,,
49,"A gym is evaluating the effectiveness of three workout programs based on weight loss:
Use one-way ANOVA to determine if there are significant differences in weight loss at α = 0.05.",Program X,Program Y,Program Z,,,,,,0.05,One Way CRD
,,3.5,4,3.8,,,,,,,
,,3.6,3.9,4.1,,,,,,,
,,3.4,4.2,3.9,,,,,,,
,,3.7,4.1,4,,,,,,,
,,3.8,4,3.7,,,,,,,
,,,,,,,,,,,
50,"A software company is comparing usability scores for three different versions of their software:
Perform a one-way ANOVA to check if there are significant differences in usability scores at α = 0.05.",Version 1,Version 2,Version 3,,,,,,0.05,One Way CRD
,,7.8,8,7.9,,,,,,,
,,7.9,8.1,7.8,,,,,,,
,,7.7,8.2,7.9,,,,,,,
,,7.6,8,8,,,,,,,
,,7.8,8.1,7.7,,,,,,,
