Sr. No,Questions,Data,,,,,,,,Alpha,Type
,,,,,,,,,,,
48,"A study is conducted to compare the energy consumption of three different light bulbs:
Perform a one-way ANOVA to determine if there are significant differences in energy consumption at α = 0.05.",Bulb A,Bulb B,Bulb C,,,,,,0.05,CRD
,,60,55,50,,,,,,,
,,58,54,49,,,,,,,
,,59,56,51,,,,,,,
,,60,55,52,,,,,,,
,,57,53,50,,,,,,,
,,,,,,,,,,,
49,"A gym is evaluating the effectiveness of three workout programs based on weight loss:
Use one-way ANOVA to determine if there are significant differences in weight loss at α = 0.05.",Program X,Program Y,Program Z,,,,,,0.05,CRD
,,3.5,4,3.8,,,,,,,
,,3.6,3.9,4.1,,,,,,,
,,3.4,4.2,3.9,,,,,,,
,,3.7,4.1,4,,,,,,,
,,3.8,4,3.7,,,,,,,
,,,,,,,,,,,
50,"A software company is comparing usability scores for three different versions of their software:
Perform a one-way ANOVA to check if there are significant differences in usability scores at α = 0.05.",Version 1,Version 2,Version 3,,,,,,0.05,CRD
,,7.8,8,7.9,,,,,,,
,,7.9,8.1,7.8,,,,,,,
,,7.7,8.2,7.9,,,,,,,
,,7.6,8,8,,,,,,,
,,7.8,8.1,7.7,,,,,,,
,,,,,,,,,,,
51,"A company wants to compare the effectiveness of three marketing campaigns based on sales increase:
Conduct a one-way ANOVA to determine if there are significant differences in campaign effectiveness at α = 0.01.",Campaign A,Campaign B,Campaign C,,,,,,0.01,CRD
,,12%,15%,13%,,,,,,,
,,11%,14%,12%,,,,,,,
,,12%,16%,13%,,,,,,,
,,13%,14%,14%,,,,,,,
,,12%,15%,12%,,,,,,,
,,,,,,,,,,,
52,"The retention scores (out of 10) of students using different study aids across various subjects:
Conduct a randomized block ANOVA to see if there are significant differences in retention scores at α = 0.05.",Subject,Aid 1,Aid 2,Aid 3,,,,,0.05,RBD
,,Math,7.5,8,7.8,,,,,,
,,Science,8,8.2,7.9,,,,,,
,,English,7.8,8.1,8,,,,,,
,,History,7.7,8,7.9,,,,,,
,,Art,7.6,8.2,7.8,,,,,,
,,,,,,,,,,,
53,"The effectiveness of three blood pressure medications tested on different patient groups:
Perform a randomized block ANOVA to determine if there are significant differences in medication effectiveness at α = 0.01.",Patient Group,Medication A,Medication B,Medication C,,,,,0.01,RBD
,,Group 1,120,118,119,,,,,,
,,Group 2,121,117,120,,,,,,
,,Group 3,119,116,118,,,,,,
,,Group 4,118,117,119,,,,,,
,,Group 5,120,118,117,,,,,,
,,,,,,,,,,,
54,"The yield (in kg) of three different crop varieties grown in different soil types:
Use a randomized block ANOVA to check if there are significant differences in crop yield at α = 0.05.",Soil Type,Variety 1,Variety 2,Variety 3,,,,,0.05,RBD
,,Soil A,3.5,3.8,3.6,,,,,,
,,Soil B,3.6,3.9,3.7,,,,,,
,,Soil C,3.7,4,3.8,,,,,,
,,Soil D,3.8,3.7,3.9,,,,,,
,,Soil E,3.9,3.6,4,,,,,,
,,,,,,,,,,,
55,"The impact of three exercise regimens on muscle strength across different age groups:
Conduct a randomized block ANOVA to determine if there are significant differences in muscle strength at α = 0.01.",Age Group,Regimen 1,Regimen 2,Regimen 3,,,,,0.01,RBD
,,20-30,50,52,51,,,,,,
,,31-40,48,50,49,,,,,,
,,41-50,49,51,50,,,,,,
,,51-60,47,48,46,,,,,,
,,61-70,46,47,45,,,,,,
,,,,,,,,,,,
56,"The satisfaction ratings (out of 10) of different website designs across various user demographics:
Use a randomized block ANOVA to check if there are significant differences in satisfaction ratings at α = 0.05.",Demographic,Design A,Design B,Design C,,,,,0.05,RBD
,,18-25,7.5,8,7.8,,,,,,
,,26-35,8,8.2,7.9,,,,,,
,,36-45,7.8,8.1,8,,,,,,
,,46-55,7.7,8,7.9,,,,,,
,,56+,7.6,8.2,7.8,,,,,,
,,,,,,,,,,,
57,"The efficiency scores of different study techniques across various student groups:
Perform a randomized block ANOVA to determine if there are significant differences in efficiency scores at α = 0.01.",Student Group,Technique A,Technique B,Technique C,,,,,0.01,RBD
,,Group 1,80,85,82,,,,,,
,,Group 2,83,86,84,,,,,,
,,Group 3,82,87,83,,,,,,
,,Group 4,81,84,85,,,,,,
,,Group 5,84,88,86,,,,,,
,,,,,,,,,,,
58,"The performance scores of employees after using different training programs across various departments:
Use a randomized block ANOVA to check if there are significant differences in performance scores at α = 0.05.",Department,Program 1,Program 2,Program 3,,,,,0.05,RBD
,,Sales,75,80,78,,,,,,
,,Marketing,78,82,79,,,,,,
,,HR,77,81,80,,,,,,
,,IT,76,79,77,,,,,,
,,Finance,79,83,80,,,,,,
,,,,,,,,,,,
59,"The quality ratings (out of 10) of different product batches across various production lines:
Conduct a randomized block ANOVA to determine if there are significant differences in quality ratings at α = 0.01.",Production Line,Batch A,Batch B,Batch C,,,,,0.01,RBD
,,Line 1,8.5,8.8,8.7,,,,,,
,,Line 2,8.6,8.9,8.8,,,,,,
,,Line 3,8.7,8.7,8.6,,,,,,
,,Line 4,8.8,8.6,8.9,,,,,,
,,Line 5,8.9,8.9,8.8,,,,,,
,,,,,,,,,,,
60,"The sales performance of different marketing strategies across various regions:
Perform a randomized block ANOVA to check if there are significant differences in sales performance at α = 0.05.",Region,Strategy A,Strategy B,Strategy C,,,,,0.05,RBD
,,North,55,60,58,,,,,,
,,South,52,59,57,,,,,,
,,East,54,58,56,,,,,,
,,West,53,57,55,,,,,,
,,Central,56,61,59,,,,,,
,,,,,,,,,,,
61,"The impact of different classroom environments on student performance across various teaching styles:
Conduct a randomized block ANOVA to determine if there are significant differences in student performance at α = 0.01.",Teaching Style,Environment A,Environment B,Environment C,,,,,0.01,RBD
,,Style 1,85,80,82,,,,,,
,,Style 2,88,83,85,,,,,,
,,Style 3,87,84,86,,,,,,
,,Style 4,86,81,83,,,,,,
,,Style 5,89,85,84,,,,,,
,,,,,,,,,,,
62,"The effectiveness scores of different teaching methods and materials:
Perform a two-way ANOVA to determine if teaching method and material type impact effectiveness scores at α = 0.05.",Material,Method A,Method B,Method C,,,,,0.05,RBD
,,Material 1,80,85,82,,,,,,
,,Material 2,83,86,84,,,,,,
,,Material 3,82,87,83,,,,,,
,,,,,,,,,,,
63,"The effectiveness scores of different advertisement types across various media platforms:
Conduct a two-way ANOVA to see if advertisement type and platform affect effectiveness at α = 0.05.",Platform,Ad Type 1,Ad Type 2,Ad Type 3,,,,,0.05,RBD
,,TV,7,8,6,,,,,,
,,Online,6,7,8,,,,,,
,,Print,5,6,7,,,,,,
,,,,,,,,,,,
64,"The weight loss (in kg) for different diet and exercise combinations:
Perform a two-way ANOVA to check if diet and exercise impact weight loss at α = 0.01.",Exercise,Diet A,Diet B,Diet C,,,,,0.01,RBD
,,Exercise 1,3.5,4,3.8,,,,,,
,,Exercise 2,3.6,3.9,4.1,,,,,,
,,Exercise 3,3.4,4.2,3.9,,,,,,
,,,,,,,,,,,
65,"The production output (in units) for different machines operated by different operators:
Conduct a two-way ANOVA to determine if machine and operator affect production output at α = 0.05.			",Operator,Machine 1,Machine 2,Machine 3,,,,,0.05,RBD
,,Operator A,150,160,155,,,,,,
,,Operator B,145,158,152,,,,,,
,,Operator C,148,162,153,,,,,,
,,,,,,,,,,,
66,"The usability scores (out of 10) for different software versions across various user groups:
Use a two-way ANOVA to check if software version and user group impact usability scores at α = 0.05.",User Group,Version 1,Version 2,Version 3,,,,,0.05,RBD
,,Group 1,7,8,9,,,,,,
,,Group 2,6,7,8,,,,,,
,,Group 3,5,6,7,,,,,,
,,,,,,,,,,,
67,"The effect of different dietary supplements on weight gain (in kg) across various age groups:
Perform a two-way ANOVA to determine if supplement and age group affect weight gain at α = 0.01.",Age Group,Supplement A,Supplement B,Supplement C,,,,,0.01,RBD
,,20-30,2.5,3,2.8,,,,,,
,,31-40,2.6,3.1,2.9,,,,,,
,,41-50,2.4,2.9,2.7,,,,,,
,,,,,,,,,,,
68,"The satisfaction scores of employees (out of 10) in different job roles across genders:
Conduct a two-way ANOVA to check if job role and gender affect satisfaction scores at α = 0.05.",Gender,Role 1,Role 2,Role 3,,,,,0.05,RBD
,,Male,7.5,8,7.8,,,,,,
,,Female,8,8.2,7.9,,,,,,
,,Other,7.8,8.1,8,,,,,,
,,,,,,,,,,,
69,"The sales increase (in %) for different product features in various markets:
Perform a two-way ANOVA to determine if product feature and market affect sales increase at α = 0.01.",Market,Feature A,Feature B,Feature C,,,,,0.01,RBD
,,Market 1,10,12,11,,,,,,
,,Market 2,11,13,10,,,,,,
,,Market 3,9,12,11,,,,,,
,,,,,,,,,,,
70,"The test scores of students for different teaching methods across genders:
Use a two-way ANOVA to check if teaching method and gender affect test scores at α = 0.05.",Gender,Method A,Method B,Method C,,,,,0.05,RBD
,,Male,78,85,80,,,,,,
,,Female,82,87,83,,,,,,
,,Other,79,84,82,,,,,,
,,,,,,,,,,,
71,"The effectiveness scores (out of 10) for different software features across user types:
Conduct a two-way ANOVA to determine if software feature and user type impact effectiveness scores at α = 0.05.",User Type,Feature 1,Feature 2,Feature 3,,,,,0.05,RBD
,,Type A,7.5,8,7.8,,,,,,
,,Type B,8,8.2,7.9,,,,,,
,,Type C,7.8,8.1,8,,,,,,
,,,,,,,,,,,
72,"A botanist wants to examine the effect of three different fertilizers on plant growth across four different soil types. The data collected (growth in cm) is as follows:
Determine if there are significant differences in plant growth due to fertilizers and soil types.",Soil Type,Fertilizer A,Fertilizer B,Fertilizer C,,,,,,RBD
,,Soil 1,15.2,16.4,15.9,,,,,,
,,Soil 2,14.8,16,15.5,,,,,,
,,Soil 3,15.5,16.2,15.7,,,,,,
,,Soil 4,15,16.1,15.6,,,,,,
,,,,,,,,,,,
73,"A researcher is evaluating the efficiency of three study techniques across different student groups based on their grades:
Investigate if the study techniques and student groups have an impact on grades.",Student Group,Technique A,Technique B,Technique C,,,,,,RBD
,,Group 1,85,88,87,,,,,,
,,Group 2,83,86,85,,,,,,
,,Group 3,84,87,86,,,,,,
,,Group 4,82,85,84,,,,,,
,,,,,,,,,,,
74,"A nutritionist wants to test the effectiveness of three diet programs on weight loss across different age groups. The data collected (weight loss in kg) is as follows:
Examine the effect of diet programs and age groups on weight loss.",Age Group,Diet Program A,Diet Program B,Diet Program C,,,,,,RBD
,,20-30,3.5,4,3.8,,,,,,
,,31-40,3.6,3.9,4.1,,,,,,
,,41-50,3.4,4.2,3.9,,,,,,
,,51-60,3.7,4.1,4,,,,,,
,,,,,,,,,,,
75,"A company is evaluating the impact of three training programs on employee performance across different departments. The performance scores are as follows:
Determine if training programs and departments significantly affect employee performance.",Department,Program A,Program B,Program C,,,,,,RBD
,,HR,75,80,78,,,,,,
,,IT,78,82,79,,,,,,
,,Sales,77,81,80,,,,,,
,,Marketing,76,79,77,,,,,,
,,,,,,,,,,,
76,"A gym is comparing the effectiveness of three exercise routines on muscle gain across different age groups. The data collected (muscle gain in kg) is as follows:
Analyze the impact of exercise routines and age groups on muscle gain.",Age Group,Routine A,Routine B,Routine C,,,,,,RBD
,,20-30,2.5,3,2.8,,,,,,
,,31-40,2.6,3.1,2.9,,,,,,
,,41-50,2.4,2.9,2.7,,,,,,
,,51-60,2.7,3.2,2.8,,,,,,
,,,,,,,,,,,
77,"A pharmaceutical company is testing the effectiveness of three medications on reducing blood pressure across different patient groups. The data collected (reduction in mmHg) is as follows:
Investigate the effect of medications and patient groups on blood pressure reduction.",Patient Group,Medication A,Medication B,Medication C,,,,,,RBD
,,Group 1,12,14,13,,,,,,
,,Group 2,13,15,14,,,,,,
,,Group 3,11,13,12,,,,,,
,,Group 4,12,14,13,,,,,,
,,,,,,,,,,,
78,"A software company is evaluating the usability of three software versions across different user demographics. The usability scores (out of 10) are as follows:
Determine if software versions and demographics significantly affect usability scores.",Demographic,Version A,Version B,Version C,,,,,,RBD
,,18-25,7.5,8,7.8,,,,,,
,,26-35,8,8.2,7.9,,,,,,
,,36-45,7.8,8.1,8,,,,,,
,,46-55,7.7,8,7.9,,,,,,
,,,,,,,,,,,
79,"An education researcher is comparing the effectiveness of three teaching methods on student performance across different schools. The performance scores are as follows:
Analyze the impact of teaching methods and schools on student performance.",School,Method A,Method B,Method C,,,,,,RBD
,,School 1,85,88,87,,,,,,
,,School 2,83,86,85,,,,,,
,,School 3,84,87,86,,,,,,
,,School 4,82,85,84,,,,,,
,,,,,,,,,,,
80,"A company is evaluating the effectiveness of three marketing strategies on sales across different regions. The sales data (in thousands) is as follows:
Determine if marketing strategies and regions significantly affect sales.",Region,Strategy A,Strategy B,Strategy C,,,,,,RBD
,,North,150,160,155,,,,,,
,,South,145,158,152,,,,,,
,,East,148,162,153,,,,,,
,,West,151,159,154,,,,,,
,,,,,,,,,,,
81,"A health researcher is examining the effect of three diets on weight loss across different exercise routines. The data collected (weight loss in kg) is as follows:
Examine the impact of diets and exercise routines on weight loss.",Exercise Routine,Diet A,Diet B,Diet C,,,,,,RBD
,,Routine 1,3.5,4,3.8,,,,,,
,,Routine 2,3.6,3.9,4.1,,,,,,
,,Routine 3,3.4,4.2,3.9,,,,,,
,,Routine 4,3.7,4.1,4,,,,,,
,,,,,,,,,,,
82,"A retail store is comparing customer satisfaction across three service approaches and different store locations. The satisfaction scores (out of 10) are as follows:
Determine if service approaches and store locations significantly affect customer satisfaction.",Location,Approach A,Approach B,Approach C,,,,,,RBD
,,Store 1,7.5,8,7.8,,,,,,
,,Store 2,8,8.2,7.9,,,,,,
,,Store 3,7.8,8.1,8,,,,,,
,,Store 4,7.7,8,7.9,,,,,,
,,,,,,,,,,,
83,"A company is testing the effectiveness of three advertising campaigns on brand awareness across different demographics. The awareness scores (out of 10) are as follows:
Investigate the effect of advertising campaigns and demographics on brand awareness.",Demographic,Campaign A,Campaign B,Campaign C,,,,,,RBD
,,18-25,7.5,8,7.8,,,,,,
,,26-35,8,8.2,7.9,,,,,,
,,36-45,7.8,8.1,8,,,,,,
,,46-55,7.7,8,7.9,,,,,,
,,,,,,,,,,,
84,"A farmer is comparing the yield of three crop varieties across different irrigation methods. The yield data (in kg) is as follows:
Determine if crop varieties and irrigation methods significantly affect yield.",Irrigation Method,Variety A,Variety B,Variety C,,,,,,RBD
,,Method 1,150,160,155,,,,,,
,,Method 2,145,158,152,,,,,,
,,Method 3,148,162,153,,,,,,
,,Method 4,151,159,154,,,,,,
,,,,,,,,,,,
85,"A manufacturing company is evaluating the quality of three products across different production lines. The quality scores (out of 10) are as follows:
Analyze the impact of products and production lines on quality scores.",Production Line,Product A,Product B,Product C,,,,,,RBD
,,Line 1,8.5,8.8,8.7,,,,,,
,,Line 2,8.6,8.9,8.8,,,,,,
,,Line 3,8.7,8.7,8.6,,,,,,
,,Line 4,8.8,8.6,8.9,,,,,,
,,,,,,,,,,,
86,"An energy company is testing the efficiency of three energy-saving devices across different building types. The consumption data (in kWh) is as follows:
Investigate the effect of energy-saving devices and building types on energy consumption.",Building Type,Device A,Device B,Device C,,,,,,RBD
,,Type 1,150,160,155,,,,,,
,,Type 2,145,158,152,,,,,,
,,Type 3,148,162,153,,,,,,
,,Type 4,151,159,154,,,,,,
,,,,,,,,,,,
87,"A factory is testing the efficiency of three different machines across four different raw materials and two shift times. The data collected (efficiency score out of 100) is as follows:
Analyze the effect of raw materials, shift times, and machines on efficiency scores.",Raw Material,Shift Time,Machine A,Machine B,Machine C,,,,,FD
,,Material 1,Morning,85,88,87,,,,,
,,Material 1,Evening,84,86,85,,,,,
,,Material 2,Morning,86,89,88,,,,,
,,Material 2,Evening,85,87,86,,,,,
,,Material 3,Morning,87,90,89,,,,,
,,Material 3,Evening,86,88,87,,,,,
,,Material 4,Morning,88,91,90,,,,,
,,Material 4,Evening,87,89,88,,,,,
,,,,,,,,,,,
88,"A researcher is studying the yield of four different crop varieties under three types of fertilizers and two irrigation methods. The data collected (yield in kg) is as follows:
Investigate the effect of crop variety, fertilizer type, and irrigation method on yield.",Crop Variety,Fertilizer,Irrigation,Yield,,,,,,FD
,,Variety 1,Type A,Drip,150,,,,,,
,,Variety 1,Type A,Flood,145,,,,,,
,,Variety 1,Type B,Drip,152,,,,,,
,,Variety 1,Type B,Flood,148,,,,,,
,,Variety 1,Type C,Drip,155,,,,,,
,,Variety 1,Type C,Flood,150,,,,,,
,,Variety 2,Type A,Drip,160,,,,,,
,,Variety 2,Type A,Flood,155,,,,,,
,,Variety 2,Type B,Drip,162,,,,,,
,,Variety 2,Type B,Flood,158,,,,,,
,,Variety 2,Type C,Drip,165,,,,,,
,,Variety 2,Type C,Flood,160,,,,,,
,,Variety 3,Type A,Drip,170,,,,,,
,,Variety 3,Type A,Flood,165,,,,,,
,,Variety 3,Type B,Drip,172,,,,,,
,,Variety 3,Type B,Flood,168,,,,,,
,,Variety 3,Type C,Drip,175,,,,,,
,,Variety 3,Type C,Flood,170,,,,,,
,,Variety 4,Type A,Drip,180,,,,,,
,,Variety 4,Type A,Flood,175,,,,,,
,,Variety 4,Type B,Drip,182,,,,,,
,,Variety 4,Type B,Flood,178,,,,,,
,,Variety 4,Type C,Drip,185,,,,,,
,,Variety 4,Type C,Flood,180,,,,,,
,,,,,,,,,,,
89,"A pharmaceutical company is testing three medications on four types of patients (based on age) at three different dosage levels. The effectiveness scores (out of 10) are as follows:
Determine the effect of patient type, dosage level, and medication on effectiveness scores.",Patient Type,Dosage Level,Medication A,Medication B,Medication C,,,,,FD
,,Type 1,Low,7.5,8,7.8,,,,,
,,Type 1,Medium,8,8.5,8.3,,,,,
,,Type 1,High,8.2,8.7,8.5,,,,,
,,Type 2,Low,7.3,7.8,7.6,,,,,
,,Type 2,Medium,7.8,8.3,8.1,,,,,
,,Type 2,High,8,8.5,8.3,,,,,
,,Type 3,Low,7.6,8.1,7.9,,,,,
,,Type 3,Medium,8.1,8.6,8.4,,,,,
,,Type 3,High,8.3,8.8,8.6,,,,,
,,Type 4,Low,7.4,7.9,7.7,,,,,
,,Type 4,Medium,7.9,8.4,8.2,,,,,
,,Type 4,High,8.1,8.6,8.4,,,,,
,,,,,,,,,,,
90,"A retail chain is evaluating customer satisfaction across four store locations, three service strategies, and two time periods. The satisfaction scores (out of 10) are as follows:
Analyze the impact of store location, time period, and service strategy on customer satisfaction.",Store Location,Time Period,Strategy A,Strategy B,Strategy C,,,,,FD
,,Store 1,Morning,7.5,8,7.8,,,,,
,,Store 1,Evening,7.4,7.9,7.7,,,,,
,,Store 2,Morning,8,8.5,8.3,,,,,
,,Store 2,Evening,7.9,8.4,8.2,,,,,
,,Store 3,Morning,7.8,8.3,8.1,,,,,
,,Store 3,Evening,7.7,8.2,8,,,,,
,,Store 4,Morning,7.6,8.1,7.9,,,,,
,,Store 4,Evening,7.5,8,7.8,,,,,
,,,,,,,,,,,
91,"A company is testing the effectiveness of four training programs across three departments and two experience levels of employees. The performance scores are as follows:
Investigate the effect of department, experience level, and training program on performance scores.",Department,Experience Level,Program A,Program B,Program C,Program D,,,,FD
,,HR,Junior,75,78,76,77,,,,
,,HR,Senior,78,81,79,80,,,,
,,IT,Junior,80,83,81,82,,,,
,,IT,Senior,83,86,84,85,,,,
,,Sales,Junior,78,81,79,80,,,,
,,Sales,Senior,81,84,82,83,,,,
,,,,,,,,,,,
92,"A nutritionist is testing four diet programs on weight loss across three age groups and two genders. The data collected (weight loss in kg) is as follows:
Examine the effect of age group, gender, and diet program on weight loss.",Age Group,Gender,Program A,Program B,Program C,Program D,,,,FD
,,20-30,Male,3.5,4,3.8,3.9,,,,
,,20-30,Female,3.7,4.2,4,4.1,,,,
,,31-40,Male,3.6,4.1,3.9,4,,,,
,,31-40,Female,3.8,4.3,4.1,4.2,,,,
,,41-50,Male,3.4,3.9,3.7,3.8,,,,
,,41-50,Female,3.6,4.1,3.9,4,,,,
,,,,,,,,,,,
93,"An education researcher is evaluating the effectiveness of four teaching methods across three grade levels and two types of schools. The performance scores are as follows:
Determine the effect of grade level, school type, and teaching method on performance scores.",Grade Level,School Type,Method A,Method B,Method C,Method D,,,,FD
,,Grade 1,Public,85,88,87,86,,,,
,,Grade 1,Private,88,91,90,89,,,,
,,Grade 2,Public,84,87,86,85,,,,
,,Grade 2,Private,87,90,89,88,,,,
,,Grade 3,Public,83,86,85,84,,,,
,,Grade 3,Private,86,89,88,87,,,,
,,,,,,,,,,,
94,"A software company is testing the usability of four software versions across three user demographics and two usage environments. The usability scores (out of 10) are as follows:
Analyze the impact of user demographic, usage environment, and software version on usability scores.",User Demographic,Usage Environment,Version A,Version B,Version C,Version D,,,,FD
,,18-25,Office,7.5,8,7.8,7.9,,,,
,,18-25,Home,7.4,7.9,7.7,7.8,,,,
,,26-35,Office,8,8.5,8.3,8.4,,,,
,,26-35,Home,7.9,8.4,8.2,8.3,,,,
,,36-45,Office,7.8,8.3,8.1,8.2,,,,
,,36-45,Home,7.7,8.2,8,8.1,,,,
,,,,,,,,,,,
95,"A company is testing four advertising campaigns on brand awareness across three regions and two media types. The awareness scores (out of 10) are as follows:
Investigate the effect of region, media type, and advertising campaign on brand awareness.",Region,Media Type,Campaign A,Campaign B,Campaign C,Campaign D,,,,FD
,,North,Online,7.5,8,7.8,7.9,,,,
,,North,TV,7.4,7.9,7.7,7.8,,,,
,,South,Online,8,8.5,8.3,8.4,,,,
,,South,TV,7.9,8.4,8.2,8.3,,,,
,,East,Online,7.8,8.3,8.1,8.2,,,,
,,East,TV,7.7,8.2,8,8.1,,,,
,,,,,,,,,,,
96,"A gym is testing four exercise routines on muscle gain across three age groups and two genders. The data collected (muscle gain in kg) is as follows:
Examine the effect of age group, gender, and exercise routine on muscle gain.",Age Group,Gender,Routine A,Routine B,Routine C,Routine D,,,,FD
,,20-30,Male,2.5,3,2.8,2.9,,,,
,,20-30,Female,2.7,3.2,3,3.1,,,,
,,31-40,Male,2.6,3.1,2.9,3,,,,
,,31-40,Female,2.8,3.3,3.1,3.2,,,,
,,41-50,Male,2.4,2.9,2.7,2.8,,,,
,,41-50,Female,2.6,3.1,2.9,3,,,,
,,,,,,,,,,,
97,"An energy company is testing the efficiency of four energy-saving devices across three building types and two usage patterns. The consumption data (in kWh) is as follows:
Determine the effect of building type, usage pattern, and energy-saving device on energy consumption.",Building Type,Usage Pattern,Device A,Device B,Device C,Device D,,,,FD
,,Type 1,Pattern 1,150,160,155,157,,,,
,,Type 1,Pattern 2,145,158,152,154,,,,
,,Type 2,Pattern 1,148,162,153,155,,,,
,,Type 2,Pattern 2,151,159,154,156,,,,
,,Type 3,Pattern 1,152,164,156,158,,,,
,,Type 3,Pattern 2,149,161,155,157,,,,
,,,,,,,,,,,
98,"A manufacturing company is testing the quality of four products across three production lines and two inspection times. The quality scores (out of 10) are as follows:
Investigate the effect of production line, inspection time, and product type on quality scores.",Production Line,Inspection Time,Product A,Product B,Product C,Product D,,,,FD
,,Line 1,Morning,8.5,8.8,8.7,8.6,,,,
,,Line 1,Evening,8.4,8.7,8.6,8.5,,,,
,,Line 2,Morning,8.6,8.9,8.8,8.7,,,,
,,Line 2,Evening,8.5,8.8,8.7,8.6,,,,
,,Line 3,Morning,8.7,9,8.9,8.8,,,,
,,Line 3,Evening,8.6,8.9,8.8,8.7,,,,
,,,,,,,,,,,
99,"A retail company is testing the effectiveness of four sales strategies across three regions and two sales periods. The performance scores (out of 10) are as follows:
Analyze the impact of region, sales period, and sales strategy on performance scores.",Region,Sales Period,Strategy A,Strategy B,Strategy C,Strategy D,,,,FD
,,North,Q1,75,78,77,76,,,,
,,North,Q2,74,77,76,75,,,,
,,South,Q1,78,81,80,79,,,,
,,South,Q2,77,80,79,78,,,,
,,East,Q1,76,79,78,77,,,,
,,East,Q2,75,78,77,76,,,,
,,,,,,,,,,,
100,"A tech company is testing the performance of four website designs across three user groups and two browsing devices. The performance scores (out of 10) are as follows:
Determine the effect of user group, device, and website design on performance scores.",User Group,Device,Design A,Design B,Design C,Design D,,,,FD
,,Group 1,Desktop,8.5,8.8,8.7,8.6,,,,
,,Group 1,Mobile,8.4,8.7,8.6,8.5,,,,
,,Group 2,Desktop,8.6,8.9,8.8,8.7,,,,
,,Group 2,Mobile,8.5,8.8,8.7,8.6,,,,
,,Group 3,Desktop,8.7,9,8.9,8.8,,,,
,,Group 3,Mobile,8.6,8.9,8.8,8.7,,,,
,,,,,,,,,,,
101,"A company is testing the effectiveness of four marketing campaigns across three customer segments and two advertising channels. The effectiveness scores (out of 10) are as follows:
Investigate the effect of customer segment, advertising channel, and marketing campaign on effectiveness scores.",Customer Segment,Channel,Campaign A,Campaign B,Campaign C,Campaign D,,,,FD
,,Segment 1,Online,7.5,8,7.8,7.9,,,,
,,Segment 1,Offline,7.4,7.9,7.7,7.8,,,,
,,Segment 2,Online,8,8.5,8.3,8.4,,,,
,,Segment 2,Offline,7.9,8.4,8.2,8.3,,,,
,,Segment 3,Online,7.8,8.3,8.1,8.2,,,,
,,Segment 3,Offline,7.7,8.2,8,8.1,,,,
,,,,,,,,,,,
102,"A botanist is studying the effect of three different fertilizers on the growth of plants. The plant heights (in cm) after 4 weeks are recorded for each fertilizer type as follows:
Analyze the impact of the different fertilizers on plant growth.",Fertilizer Type,Plant 1,Plant 2,Plant 3,Plant 4,Plant 5,,,,RBD
,,Fertilizer A,12.3,11.8,12.7,12,11.9,,,,
,,Fertilizer B,13.4,13,13.2,12.9,13.1,,,,
,,Fertilizer C,14.5,14.2,14.3,14.1,14.4,,,,
,,,,,,,,,,,
103,"A pharmaceutical company is testing the effectiveness of three different drugs on reducing blood pressure. The reductions (in mmHg) are recorded for a sample of patients for each drug as follows:
Determine the effect of each drug on reducing blood pressure.",Drug Type,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,,,,RBD
,,Drug A,10,12,11,13,12,,,,
,,Drug B,14,16,15,14,15,,,,
,,Drug C,18,20,19,21,20,,,,
,,,,,,,,,,,
104,"An educational researcher is comparing the effectiveness of three teaching methods on student test scores. The test scores for each method are recorded as follows:
Examine the impact of different teaching methods on student performance.",Teaching Method,Student 1,Student 2,Student 3,Student 4,Student 5,,,,RBD
,,Method A,78,82,80,79,81,,,,
,,Method B,85,88,87,86,87,,,,
,,Method C,90,92,91,93,92,,,,
,,,,,,,,,,,
105,"A manufacturing company is evaluating the efficiency of three different machines in producing widgets. The number of widgets produced per hour by each machine is recorded as follows:
Analyze the efficiency of the different machines.",Machine Type,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,,,,RBD
,,Machine A,45,47,46,48,47,,,,
,,Machine B,50,52,51,53,52,,,,
,,Machine C,55,57,56,58,57,,,,
